"Property","File to add under assets/images/","What it should show","Best size","Appears on","Status"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-outdoor-spaces.jpg","Open outdoor spaces at Malewa Riverside Resort","2400 × 1600 px or larger","Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-scenic-hiking.jpg","The scenic hiking area at Malewa Riverside Resort","1600 × 1200 px","Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/experiences/malewa-table-tennis.jpg","Table tennis on the grounds at Malewa Riverside Resort","1600 × 1200 px","Experiences","needed"
"Malewa Riverside Resort & Cottages","malewa/exterior/malewa-cottages-exterior.jpg","Cottages at Malewa Riverside Resort in Gilgil","1600 × 1200 px","Clavina / Home / Properties / Stay","needed"
"Malewa Riverside Resort & Cottages","malewa/exterior/malewa-resort-grounds.jpg","The grounds at Malewa Riverside Resort","2400 × 1600 px or larger","About / Properties","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-bonfire-night.jpg","The bonfire site lit in the evening at Malewa Riverside Resort","1200 × 1200 px","Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-camping-tents-riverside.jpg","Camping tents pitched near the river at the resort","1600 × 900 px","Gallery / Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-conference-hall-in-session.jpg","A conference session under way in one of the resort halls","1600 × 900 px","Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-cottage-veranda.jpg","Veranda of one of the cottages at Malewa Riverside Resort","1200 × 1600 px","Gallery / Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-garden-path.jpg","A garden path through the resort grounds","1200 × 1600 px","Gallery / Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-gazebo-lunch.jpg","The outdoor gazebo set up for a group at the resort","1600 × 900 px","Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-hiking-view.jpg","View from the scenic hiking area at the resort","1600 × 900 px","Gallery / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-restaurant-interior.jpg","Inside the Main Restaurant at Malewa Riverside Resort","1200 × 1200 px","Dining / Gallery / Home","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-river-bend.jpg","The River Malewa flowing past the resort grounds at Gilgil","1600 × 900 px","Gallery / Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-riverside-meal.jpg","A meal served beside the River Malewa","1200 × 1600 px","Dining / Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/malewa-table-tennis-lawn.jpg","Table tennis on the lawns at Malewa Riverside Resort","1200 × 1600 px","Gallery / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/gallery/skyline-coffee-bar-counter.jpg","The Skyline Coffee Bar at Malewa Riverside Resort","1200 × 1200 px","Dining / Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/hero/malewa-riverside-hero.jpg","Malewa Riverside Resort & Cottages seen from across the River Malewa at Gilgil","2400 × 1600 px or larger","Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/hero/malewa-riverside-setting.jpg","The riverside setting at Malewa Riverside Resort, Gilgil","2400 × 1600 px or larger","Contact / Gallery","needed"
"Malewa Riverside Resort & Cottages","malewa/restaurant/malewa-dining-detail.jpg","Dining detail at Malewa Riverside Resort","1600 × 900 px","Dining","needed"
"Malewa Riverside Resort & Cottages","malewa/restaurant/malewa-main-restaurant.jpg","The Main Restaurant at Malewa Riverside Resort","1600 × 1200 px","Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/restaurant/malewa-restaurant-dining.jpg","A table in the Main Restaurant at Malewa Riverside Resort","1600 × 1200 px","Dining","needed"
"Malewa Riverside Resort & Cottages","malewa/restaurant/skyline-coffee-bar.jpg","The Skyline Coffee Bar at Malewa Riverside Resort","1600 × 1200 px","Dining / Home / Malewa","needed"
"Malewa Riverside Resort & Cottages","malewa/riverside/malewa-river.jpg","The River Malewa at the edge of the resort grounds","1600 × 1200 px","Experiences / Home","needed"
"Malewa Riverside Resort & Cottages","malewa/team-building/malewa-team-building-activities.jpg","Team activities on the grounds at Malewa Riverside Resort","1600 × 1200 px","Team building","needed"
"Malewa Riverside Resort & Cottages","malewa/team-building/malewa-team-building-grounds.jpg","The team building grounds at Malewa Riverside Resort","1600 × 1200 px","Conferences / Team building","needed"
"Clavina","clavina/gallery/clavina-detail-view.jpg","Clavina — detail photograph to be supplied","1200 × 1200 px","Gallery","needed"
"Clavina","clavina/gallery/clavina-exterior-view.jpg","Clavina — exterior photograph to be supplied","1600 × 900 px","Gallery","needed"
"Clavina","clavina/gallery/clavina-interior-view.jpg","Clavina — interior photograph to be supplied","1200 × 1600 px","Gallery","needed"
"Clavina","clavina/hero/clavina-hero.jpg","Clavina — property photograph to be supplied","2400 × 1600 px or larger","Clavina / Home / Properties","needed"
"Clavina Pax","clavina-pax/dining/clavina-pax-dining-room.jpg","Clavina Pax — dining room photograph to be supplied","1600 × 1200 px","Clavina / Clavina Pax / Dining / Home","needed"
"Clavina Pax","clavina-pax/dining/clavina-pax-food.jpg","Clavina Pax — food photograph to be supplied","1200 × 1200 px","Clavina Pax / Dining","needed"
"Clavina Pax","clavina-pax/dining/clavina-pax-table.jpg","Clavina Pax — table setting photograph to be supplied","1200 × 1200 px","Clavina Pax / Dining","needed"
"Clavina Pax","clavina-pax/events/clavina-pax-events.jpg","Clavina Pax — events photograph to be supplied","1600 × 1200 px","Clavina Pax","needed"
"Clavina Pax","clavina-pax/gallery/clavina-pax-interior.jpg","Clavina Pax — dining room photograph to be supplied","1600 × 900 px","Clavina Pax / Dining / Gallery","needed"
"Clavina Pax","clavina-pax/gallery/clavina-pax-plate.jpg","Clavina Pax — food photograph to be supplied","1200 × 1200 px","Clavina Pax / Dining / Gallery","needed"
"Clavina Pax","clavina-pax/gallery/clavina-pax-table-set.jpg","Clavina Pax — table setting photograph to be supplied","1200 × 1600 px","Clavina Pax / Dining / Gallery","needed"
"Clavina Pax","clavina-pax/hero/clavina-pax-hero.jpg","Clavina Pax — restaurant photograph to be supplied","2400 × 1600 px or larger","Clavina Pax / Dining / Home / Properties","needed"
